<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200702,000000,1792.0000000,1792.0000000,1610.0000000,1666.0000000,307363
20200703,000000,1682.0000000,1776.6000000,1665.0000000,1754.8000000,372035
20200706,000000,1803.2000000,1918.0000000,1763.8000000,1852.0000000,915188
20200707,000000,1899.0000000,1927.4000000,1852.0000000,1873.0000000,643193
20200708,000000,1880.0000000,1889.8000000,1835.0000000,1838.6000000,136683
20200709,000000,1845.0000000,1855.0000000,1782.6000000,1808.0000000,165055
20200710,000000,1804.0000000,1838.0000000,1803.4000000,1811.8000000,88820
20200713,000000,1822.4000000,1838.0000000,1818.0000000,1822.0000000,90603
20200714,000000,1823.0000000,1824.8000000,1781.4000000,1786.6000000,95013
20200715,000000,1790.0000000,1845.0000000,1790.0000000,1811.8000000,117678
20200716,000000,1801.4000000,1822.0000000,1801.4000000,1821.0000000,43330
20200717,000000,1825.0000000,1840.0000000,1808.0000000,1827.0000000,101119
20200720,000000,1827.0000000,1841.6000000,1810.2000000,1822.0000000,103368
20200721,000000,1830.0000000,1878.6000000,1830.0000000,1851.2000000,168971
20200722,000000,1855.2000000,1874.2000000,1835.6000000,1863.0000000,181213
20200723,000000,1886.0000000,1915.6000000,1876.6000000,1911.0000000,330180
20200724,000000,1912.0000000,1915.8000000,1882.8000000,1906.2000000,204869
20200727,000000,1915.8000000,1935.0000000,1905.2000000,1915.0000000,183102
20200728,000000,1915.2000000,1990.6000000,1915.0000000,1985.0000000,168197
20200729,000000,2020.6000000,2021.6000000,1985.0000000,2005.8000000,259106
20200730,000000,2018.8000000,2026.0000000,1970.2000000,1990.0000000,119237
20200731,000000,2004.0000000,2022.0000000,1960.0000000,1975.0000000,117978
20200803,000000,2001.2000000,2051.2000000,1994.2000000,2028.0000000,271084
20200804,000000,2049.8000000,2062.0000000,2016.0000000,2043.0000000,226814
20200805,000000,2054.8000000,2054.8000000,2025.0000000,2031.4000000,175816
20200806,000000,2039.6000000,2040.0000000,1980.0000000,1985.0000000,265695
20200807,000000,2008.4000000,2010.0000000,1972.0000000,1986.0000000,164251
20200810,000000,1999.8000000,2009.0000000,1970.0000000,1999.4000000,116975
20200811,000000,2000.0000000,2008.0000000,1970.0000000,1973.0000000,286111
20200812,000000,1974.0000000,1989.4000000,1957.0000000,1986.6000000,132904
20200813,000000,1990.0000000,2055.0000000,1975.0000000,2044.0000000,396169
20200814,000000,2042.4000000,2085.0000000,2015.0000000,2079.8000000,344086
20200817,000000,2086.8000000,2145.8000000,2080.0000000,2106.0000000,553436
20200818,000000,2109.8000000,2138.4000000,2060.2000000,2080.0000000,305196
20200819,000000,2085.8000000,2195.0000000,2083.0000000,2163.0000000,583979
20200820,000000,2169.4000000,2189.2000000,2110.0000000,2128.8000000,454478
20200821,000000,2148.8000000,2224.0000000,2120.2000000,2150.0000000,538357
20200824,000000,2174.8000000,2214.8000000,2172.2000000,2182.6000000,416076
20200825,000000,2192.0000000,2344.8000000,2190.0000000,2314.0000000,752539
20200826,000000,2350.0000000,2360.0000000,2282.2000000,2337.6000000,1113914
20200827,000000,2348.0000000,2448.0000000,2304.0000000,2335.2000000,1023040
